城市,区,地铁站点数,人均可支配收入（元）,聚类种类
大同市,广灵县,0,,类别4
大同市,灵丘县,0,,类别4
大同市,浑源县,0,,类别4
大同市,左云县,0,,类别4
大同市,山西大同经济开发区,0,,类别4
阳泉市,城区,0,,类别4
阳泉市,矿区,0,,类别4
阳泉市,郊区,0,,类别4
阳泉市,平定县,0,,类别4
阳泉市,盂县,0,,类别4
长治市,潞州区,0,,类别4
长治市,上党区,0,,类别4
长治市,屯留区,0,,类别4
长治市,潞城区,0,,类别4
长治市,襄垣县,0,,类别4
长治市,平顺县,0,,类别4
长治市,黎城县,0,,类别4
长治市,壶关县,0,,类别4
长治市,长子县,0,,类别4
长治市,武乡县,0,,类别4
长治市,沁县,0,,类别4
长治市,沁源县,0,,类别4
晋城市,城区,0,,类别4
晋城市,沁水县,0,,类别4
晋城市,阳城县,0,,类别4
晋城市,陵川县,0,,类别4
晋城市,泽州县,0,,类别4
晋城市,高平市,0,,类别4
朔州市,朔城区,0,,类别4
朔州市,平鲁区,0,,类别4
朔州市,山阴县,0,,类别4
朔州市,应县,0,,类别4
朔州市,右玉县,0,,类别4
朔州市,山西朔州经济开发区,0,,类别4
朔州市,怀仁市,0,,类别4
晋中市,榆次区,0,,类别4
晋中市,太谷区,0,,类别4
晋中市,榆社县,0,,类别4
晋中市,左权县,0,,类别4
晋中市,和顺县,0,,类别4
晋中市,昔阳县,0,,类别4
晋中市,寿阳县,0,,类别4
晋中市,祁县,0,,类别4
晋中市,平遥县,0,,类别4
晋中市,灵石县,0,,类别4
晋中市,介休市,0,,类别4
运城市,盐湖区,0,,类别4
运城市,临猗县,0,,类别4
运城市,万荣县,0,,类别4
运城市,闻喜县,0,,类别4
运城市,稷山县,0,,类别4
运城市,新绛县,0,,类别4
运城市,绛县,0,,类别4
运城市,垣曲县,0,,类别4
运城市,夏县,0,,类别4
运城市,平陆县,0,,类别4
运城市,芮城县,0,,类别4
运城市,永济市,0,,类别4
运城市,河津市,0,,类别4
忻州市,忻府区,0,,类别4
忻州市,定襄县,0,,类别4
忻州市,五台县,0,,类别4
忻州市,代县,0,,类别4
忻州市,繁峙县,0,,类别4
忻州市,宁武县,0,,类别4
忻州市,静乐县,0,,类别4
忻州市,神池县,0,,类别4
忻州市,五寨县,0,,类别4
忻州市,岢岚县,0,,类别4
忻州市,河曲县,0,,类别4
忻州市,保德县,0,,类别4
忻州市,偏关县,0,,类别4
忻州市,五台山风景名胜区,0,,类别4
忻州市,原平市,0,,类别4
临汾市,尧都区,0,,类别4
临汾市,曲沃县,0,,类别4
临汾市,翼城县,0,,类别4
临汾市,襄汾县,0,,类别4
临汾市,洪洞县,0,,类别4
临汾市,古县,0,,类别4
临汾市,安泽县,0,,类别4
临汾市,浮山县,0,,类别4
临汾市,吉县,0,,类别4
临汾市,乡宁县,0,,类别4
临汾市,大宁县,0,,类别4
临汾市,隰县,0,,类别4
临汾市,永和县,0,,类别4
临汾市,蒲县,0,,类别4
临汾市,汾西县,0,,类别4
临汾市,侯马市,0,,类别4
临汾市,霍州市,0,,类别4
吕梁市,离石区,0,,类别4
吕梁市,文水县,0,,类别4
吕梁市,交城县,0,,类别4
吕梁市,兴县,0,,类别4
吕梁市,临县,0,,类别4
吕梁市,柳林县,0,,类别4
吕梁市,石楼县,0,,类别4
吕梁市,岚县,0,,类别4
吕梁市,方山县,0,,类别4
吕梁市,中阳县,0,,类别4
吕梁市,交口县,0,,类别4
吕梁市,孝义市,0,,类别4
吕梁市,汾阳市,0,,类别4
呼和浩特市,新城区,23,50888.0,类别4
呼和浩特市,回民区,6,50888.0,类别4
